,lineage,pq,rep_id,lin_id,ale_num,mut_df_col,precise_name,new_precise_name,precise_num
0_0_0pq__1,0_0,0,1,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_0pq__1,ros_tale__0_0_0pq__1,ecoli_00618
0_0_0pq__2,0_0,0,2,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_0pq__2,ros_tale__0_0_0pq__2,ecoli_00619
0_0_250pq__1,0_0,250,1,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_250pq__1,ros_tale__0_0_250pq__1,ecoli_00620
0_0_250pq__2,0_0,250,2,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_250pq__2,ros_tale__0_0_250pq__2,ecoli_00621
1_mid_250pq__1,1_mid,250,1,1,16.28,A16 F28 I1 R1,ros_tale__16_28_250pq__1,ros_tale__1_mid_250pq__1,ecoli_00564
1_mid_250pq__2,1_mid,250,2,1,16.28,A16 F28 I1 R1,ros_tale__16_28_250pq__2,ros_tale__1_mid_250pq__2,ecoli_00565
1_0_0pq__1,1_0,0,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_0pq__3,ros_tale__1_0_0pq__1,ecoli_00568
1_0_0pq__2,1_0,0,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_0pq__4,ros_tale__1_0_0pq__2,ecoli_00569
1_0_250pq__1,1_0,250,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_250pq__1,ros_tale__1_0_250pq__1,ecoli_00570
1_0_250pq__2,1_0,250,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_250pq__2,ros_tale__1_0_250pq__2,ecoli_00571
1_0_750pq__1,1_0,750,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_750pq__1,ros_tale__1_0_750pq__1,ecoli_00572
1_0_750pq__2,1_0,750,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_750pq__2,ros_tale__1_0_750pq__2,ecoli_00573
1_1_0pq__1,1_1,0,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_0pq__1,ros_tale__1_1_0pq__1,ecoli_00546
1_1_0pq__2,1_1,0,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_0pq__2,ros_tale__1_1_0pq__2,ecoli_00547
1_1_250pq__1,1_1,250,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_250pq__1,ros_tale__1_1_250pq__1,ecoli_00548
1_1_250pq__2,1_1,250,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_250pq__2,ros_tale__1_1_250pq__2,ecoli_00549
1_1_750pq__1,1_1,750,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_750pq__1,ros_tale__1_1_750pq__1,ecoli_00550
1_1_750pq__2,1_1,750,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_750pq__2,ros_tale__1_1_750pq__2,ecoli_00551
1_2_0pq__1,1_2,0,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_0pq__1,ros_tale__1_2_0pq__1,ecoli_00552
1_2_0pq__2,1_2,0,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_0pq__2,ros_tale__1_2_0pq__2,ecoli_00553
1_2_250pq__1,1_2,250,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_250pq__1,ros_tale__1_2_250pq__1,ecoli_00554
1_2_250pq__2,1_2,250,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_250pq__2,ros_tale__1_2_250pq__2,ecoli_00555
1_2_750pq__1,1_2,750,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_750pq__1,ros_tale__1_2_750pq__1,ecoli_00556
1_2_750pq__2,1_2,750,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_750pq__2,ros_tale__1_2_750pq__2,ecoli_00557
1_3_0pq__1,1_3,0,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_0pq__1,ros_tale__1_3_0pq__1,ecoli_00574
1_3_0pq__2,1_3,0,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_0pq__2,ros_tale__1_3_0pq__2,ecoli_00575
1_3_250pq__1,1_3,250,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__1,ros_tale__1_3_250pq__1,ecoli_00576
1_3_250pq__2,1_3,250,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__2,ros_tale__1_3_250pq__2,ecoli_00577
1_3_250pq__3,1_3,250,3,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__3,ros_tale__1_3_250pq__3,ecoli_00578
1_3_250pq__4,1_3,250,4,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__4,ros_tale__1_3_250pq__4,ecoli_00579
1_3_750pq__1,1_3,750,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_750pq__1,ros_tale__1_3_750pq__1,ecoli_00580
1_3_750pq__2,1_3,750,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_750pq__2,ros_tale__1_3_750pq__2,ecoli_00581
1_4_0pq__1,1_4,0,1,6,19.91,A19 F91 I1 R1,ros_tale__19_91_0pq__1,ros_tale__1_4_0pq__1,ecoli_00592
1_4_0pq__2,1_4,0,2,6,19.91,A19 F91 I1 R1,ros_tale__19_91_0pq__2,ros_tale__1_4_0pq__2,ecoli_00593
1_4_250pq__1,1_4,250,1,6,19.91,A19 F91 I1 R1,ros_tale__19_91_250pq__1,ros_tale__1_4_250pq__1,ecoli_00594
1_4_250pq__2,1_4,250,2,6,19.91,A19 F91 I1 R1,ros_tale__19_91_250pq__2,ros_tale__1_4_250pq__2,ecoli_00595
