,my_strain,pq,growth_rate,evolved_bool,evolved_str
226,3_3,0,0.7058232998120967,True,Evolved
324,3_3,0,0.6586638901544372,True,Evolved
228,3_3,125,0.5991516106937368,True,Evolved
326,3_3,125,0.6691942456736745,True,Evolved
230,3_3,250,0.5167305411090902,True,Evolved
328,3_3,250,0.6049266872082298,True,Evolved
236,3_3,750,0.5165093561865998,True,Evolved
333,3_3,750,0.5515319484959437,True,Evolved
238,3_3,1500,0.4521075874475787,True,Evolved
335,3_3,1500,0.476476679152607,True,Evolved
239,3_3,2500,0.08816031439103983,True,Evolved
336,3_3,2500,0.17482799840811533,True,Evolved
270,3_4,0,0.7474955172479648,True,Evolved
314,3_4,0,0.7081254969946992,True,Evolved
272,3_4,125,0.6878240713610304,True,Evolved
316,3_4,125,0.743156889901433,True,Evolved
274,3_4,250,0.7051170749208295,True,Evolved
318,3_4,250,0.7481828775861966,True,Evolved
276,3_4,750,0.42177167619390427,True,Evolved
320,3_4,750,0.5454131296865595,True,Evolved
