,my_strain,pq,growth_rate,evolved_bool,evolved_str
0,0_0,0,1.1242532036297401,False,Start
1,0_0,0,1.06386073594296,False,Start
2,0_0,125,0.159616878197368,False,Start
3,0_0,125,0.199643611673986,False,Start
157,1_0,0,0.8264626436070843,True,Evolved
289,1_0,0,0.8626921797117727,True,Evolved
159,1_0,125,0.7836896690479649,True,Evolved
291,1_0,125,0.7414659553165283,True,Evolved
161,1_0,250,0.6936539063055268,True,Evolved
293,1_0,250,0.7250708034269869,True,Evolved
166,1_0,750,0.604920641098006,True,Evolved
298,1_0,750,0.7025506229225318,True,Evolved
168,1_0,1500,0.5031484987564673,True,Evolved
169,1_0,2500,0.2017744399339001,True,Evolved
184,1_1,0,0.6643454286044318,True,Evolved
242,1_1,0,0.6527458561719969,True,Evolved
186,1_1,125,0.6392701742212396,True,Evolved
244,1_1,125,0.6583133705100171,True,Evolved
188,1_1,250,0.6677862118319601,True,Evolved
245,1_1,250,0.5255824269715058,True,Evolved
194,1_1,750,0.6071850896547404,True,Evolved
252,1_1,750,0.6411293751331447,True,Evolved
196,1_1,1500,0.4596839536982278,True,Evolved
254,1_1,1500,0.4545520966488022,True,Evolved
197,1_1,2500,0.21863332500715885,True,Evolved
255,1_1,2500,0.2129252060394681,True,Evolved
145,1_2,0,0.7111936893310111,True,Evolved
133,1_2,0,0.7547333265820778,True,Evolved
147,1_2,125,0.6994058761036454,True,Evolved
135,1_2,125,0.7093083569078135,True,Evolved
149,1_2,250,0.7588596829848501,True,Evolved
137,1_2,250,0.7620865265081088,True,Evolved
151,1_2,750,0.7476493027087107,True,Evolved
139,1_2,750,0.7293826106248464,True,Evolved
153,1_2,1500,0.4943939735594913,True,Evolved
141,1_2,1500,0.505022037165964,True,Evolved
84,1_3,0,0.7209458483361023,True,Evolved
200,1_3,0,0.6681643863426374,True,Evolved
86,1_3,125,0.6948062555733922,True,Evolved
202,1_3,125,0.7184916965804495,True,Evolved
88,1_3,250,0.6776025991160727,True,Evolved
204,1_3,250,0.6757516978747452,True,Evolved
93,1_3,750,0.6284579733609754,True,Evolved
209,1_3,750,0.6458618613712755,True,Evolved
95,1_3,1500,0.5044494359153661,True,Evolved
211,1_3,1500,0.5510548189190029,True,Evolved
96,1_3,2500,0.15757883467394773,True,Evolved
212,1_3,2500,0.24372449326919696,True,Evolved
302,1_4,0,0.7761898776134083,True,Evolved
26,1_4,0,0.7387973636063364,True,Evolved
304,1_4,125,0.7702982379829336,True,Evolved
28,1_4,125,0.8309327858045279,True,Evolved
306,1_4,250,0.7679619881951831,True,Evolved
30,1_4,250,0.7793405669156673,True,Evolved
308,1_4,750,0.7375364292354777,True,Evolved
32,1_4,750,0.7369814886375567,True,Evolved
310,1_4,1500,0.3830744675712159,True,Evolved
34,1_4,1500,0.4132487657053952,True,Evolved
101,2_0,0,0.5766389292873283,True,Evolved
215,2_0,0,0.8180068061671999,True,Evolved
103,2_0,125,0.884284582346223,True,Evolved
217,2_0,125,0.7731797973923317,True,Evolved
105,2_0,250,0.7887389579141622,True,Evolved
219,2_0,250,0.7412717524235988,True,Evolved
222,2_0,750,0.649677289162241,True,Evolved
223,2_0,1500,0.2178136431925928,True,Evolved
258,2_1,0,0.6519830611002989,True,Evolved
2,2_1,0,0.6930181142283008,True,Evolved
260,2_1,125,0.7003033501439139,True,Evolved
4,2_1,125,0.7181724380350437,True,Evolved
262,2_1,250,0.6663404630397046,True,Evolved
6,2_1,250,0.7175083563657906,True,Evolved
264,2_1,750,0.6140413975571384,True,Evolved
8,2_1,750,0.6137646505804194,True,Evolved
71,2_2,0,0.8119777669676221,True,Evolved
14,2_2,0,0.8512131947309921,True,Evolved
74,2_2,125,0.8814835070794795,True,Evolved
16,2_2,125,0.8180825151830078,True,Evolved
76,2_2,250,0.8154853788753115,True,Evolved
18,2_2,250,0.7058804595266741,True,Evolved
78,2_2,750,0.8110190142903554,True,Evolved
20,2_2,750,0.7197484526075044,True,Evolved
79,2_2,1500,0.4836720212154342,True,Evolved
22,2_2,1500,0.316063036111404,True,Evolved
121,2_3,0,0.8055746179778404,True,Evolved
172,2_3,0,0.7494643804848627,True,Evolved
123,2_3,125,0.6758772140947729,True,Evolved
174,2_3,125,0.7132539154264336,True,Evolved
125,2_3,250,0.5939232766171679,True,Evolved
176,2_3,250,0.6581517850084249,True,Evolved
127,2_3,750,0.7898704917905598,True,Evolved
178,2_3,750,0.7502962423190888,True,Evolved
129,2_3,1500,0.6745396744313167,True,Evolved
180,2_3,1500,0.6908794299103603,True,Evolved
109,3_1,0,0.7106746635109,True,Evolved
339,3_1,0,0.6969671201365482,True,Evolved
111,3_1,125,0.7065086044963996,True,Evolved
341,3_1,125,0.6941870917646079,True,Evolved
113,3_1,250,0.6961527969501639,True,Evolved
343,3_1,250,0.6897321762771322,True,Evolved
115,3_1,750,0.5309811881274518,True,Evolved
345,3_1,750,0.5635244195846314,True,Evolved
117,3_1,1500,0.5081853228743777,True,Evolved
347,3_1,1500,0.4533195320019223,True,Evolved
38,3_2,0,0.7133553717250196,True,Evolved
50,3_2,0,0.7283060966817723,True,Evolved
40,3_2,125,0.8180024325757187,True,Evolved
52,3_2,125,0.6990597801911842,True,Evolved
42,3_2,250,0.7706144480255293,True,Evolved
54,3_2,250,0.7837152827465044,True,Evolved
44,3_2,750,0.7307246628090552,True,Evolved
56,3_2,750,0.6384611309759226,True,Evolved
45,3_2,1500,0.5112008418556387,True,Evolved
57,3_2,1500,0.4753708528362118,True,Evolved
